raw_vars,new_var,label,operation,step,val_labs,new_vals,if_condition,if_true_return,else_return,code
umb15,umb_15_fat_needs_of_others,"In general, fat people don't think about the needs of other people.",recode,2,"strongly agree =7, moderately agree =6, slightly agree =5, neither agree nor disagree =4, slightly disagree =3, moderately disagree =2, strongly disagree =1","1=7, 2=6,  3=5, 4=4, 5=3, 6=2, 7=1",NA,NA,NA,NA
umb16,umb_16_fat_sloppy,Fat people are sloppy.,recode,2,"strongly agree =7, moderately agree =6, slightly agree =5, neither agree nor disagree =4, slightly disagree =3, moderately disagree =2, strongly disagree =1","1=7, 2=6,  3=5, 4=4, 5=3, 6=2, 7=1",NA,NA,NA,NA
umb17,umb_17_fat_like,I like fat people.,rename,2,"strongly agree =1, moderately agree =2, slightly agree =3, neither agree nor disagree =4, slightly disagree =5, moderately disagree =6, strongly disagree =7",NA,NA,NA,NA,NA
umb18,umb_18_fat_equal_housing,Special effort should be taken to make sure that fat people have the same housing opportunities as other people.,rename,2,"strongly agree =1, moderately agree =2, slightly agree =3, neither agree nor disagree =4, slightly disagree =5, moderately disagree =6, strongly disagree =7",NA,NA,NA,NA,NA
umb19,umb_19_fat_conversation,I don't enjoy having a conversation with a fat person.,recode,2,"strongly agree =7, moderately agree =6, slightly agree =5, neither agree nor disagree =4, slightly disagree =3, moderately disagree =2, strongly disagree =1","1=7, 2=6,  3=5, 4=4, 5=3, 6=2, 7=1",NA,NA,NA,NA
umb20,umb_20_fat_worship,I would like having a fat person at my place of worship or community center.,rename,2,"strongly agree =1, moderately agree =2, slightly agree =3, neither agree nor disagree =4, slightly disagree =5, moderately disagree =6, strongly disagree =7",NA,NA,NA,NA,NA
" umb_5_fat_hygiene,  umb_7_fat_bad, umb_12_fat_dishonest, umb_15_fat_needs_of_others, umb_16_fat_sloppy",umb_adverse_judgement_sum,NA,sum,3,NA,NA,NA,NA,NA,NA
"umb_2_fat_person,umb_8_fat_roommate, umb_17_fat_like, umb_19_fat_conversation, umb_20_fat_worship",umb_social_distance_sum,NA,sum,3,NA,NA,NA,NA,NA,NA
"umb_3_fat_attractive, umb_4_fat_romance, umb_6_fat_sexy, umb_9_fat_turn_off, umb_10_fat_pleasant",umb_attraction_sum,NA,sum,3,NA,NA,NA,NA,NA,NA
"umb_1_rights_privileges, umb_11_fat_salary, umb_13_fat_perspective, umb_14_fat_educational_opportunity, umb_18_fat_equal_housing",umb_equal_rights_sum,NA,sum,3,NA,NA,NA,NA,NA,NA
"umb_1_rights_privileges, umb_11_fat_salary, umb_13_fat_perspective, umb_14_fat_educational_opportunity, umb_18_fat_equal_housing, umb_3_fat_attractive, umb_4_fat_romance, umb_6_fat_sexy, umb_9_fat_turn_off, umb_10_fat_pleasant, umb_2_fat_person,umb_8_fat_roommate, umb_17_fat_like, umb_19_fat_conversation, umb_20_fat_worship, umb_5_fat_hygiene,  umb_7_fat_bad, umb_12_fat_dishonest, umb_15_fat_needs_of_others, umb_16_fat_sloppy",NA,NA,select,4,NA,NA,NA,NA,NA,NA
